     0.0  14.353
   462.9  14.662
   925.8  15.211
  1388.7  14.009
  1851.6  11.237
  2314.5   8.976
  2777.4   7.550
  3240.3   6.776
  3703.2   6.343
  4166.2   5.920
  4629.1   5.858
  5092.0   6.014
  5554.9   5.774
  6017.9   5.541
  6480.8   6.038
  6943.7   6.978
  7406.7   7.466
  7869.6   8.106
  8332.6   8.323
  8795.5   7.302
  9258.5   6.950
  9721.4   7.236
 10184.4   7.385
 10647.3   8.437
 11110.3   9.264
 11573.3   8.920
 12036.3   8.707
 12499.2   9.599
 12962.2   9.995
 13425.2   8.511
 13888.2   6.558
 14351.2   6.114
 14814.1   6.817
 15277.1   7.177
 15740.1   7.161
 16203.1   6.816
 16666.1   6.070
 17129.1   5.221
 17592.2   4.374
 18055.2   4.018
 18518.2   4.402
 18981.2   4.999
 19444.2   5.879
 19907.2   6.978
 20370.3   7.443
 20833.3   7.742
 21296.3   9.041
 21759.4  10.807
 22222.4  10.749
 22685.4  10.314
 23148.5  10.362
 23611.5   9.584
 24074.6   8.848
 24537.6   8.626
 25000.7   8.755
 25463.7   9.085
 25926.8   9.254
 26389.9   8.952
 26852.9   8.748
 27316.0   8.829
 27779.1   8.905
 28242.2   9.478
 28705.2  10.124
 29168.3   9.538
 29631.4   8.392
 30094.5   7.656
 30557.6   7.183
 31020.7   6.954
 31483.8   7.180
 31946.9   7.470
 32410.0   7.247
 32873.1   6.986
 33336.2   6.923
 33799.3   6.468
 34262.4   6.278
 34725.5   6.943
 35188.6   7.665
 35651.8   8.015
 36114.9   7.500
 36578.0   6.299
 37041.1   5.658
 37504.3   5.732
 37967.4   6.132
 38430.6   6.754
 38893.7   6.751
 39356.8   6.621
 39820.0   6.841
 40283.1   5.914
 40746.3   4.929
 41209.4   5.414
 41672.6   6.051
 42135.8   5.694
 42598.9   5.305
 43062.1   5.543
 43525.3   5.841
 43988.4   6.013
 44451.6   5.957
 44914.8   5.949
 45378.0   6.032
 45841.1   5.952
 46304.3   5.759
 46767.5   6.162
 47230.7   7.147
 47693.9   7.916
 48157.1   7.993
 48620.3   7.805
 49083.5   7.254
 49546.7   6.884
 50009.9   7.532
 50473.1   7.160
 50936.3   6.261
 51399.5   6.820
 51862.8   6.899
 52326.0   6.930
 52789.2   7.870
 53252.4   8.971
 53715.7   9.677
 54178.9   9.042
 54642.1   7.896
 55105.4   7.444
 55568.6   7.099
