   0   0.0
  90   0.0
 180   0.0
 270   0.0
 360   0.0
 450   0.0
 540   0.0
 630   0.1
 720   0.1
 810   0.3
 900   0.4
 990   0.7
1080   1.2
1170   1.9
1260   3.0
1350   4.6
1440   6.8
1530   9.9
1620  14.2
1710  19.8
1800  27.1
1890  36.1
1980  47.1
2070  60.2
2160  75.1
2250  91.6
2340 109.2
2430 127.4
2520 145.2
2610 161.9
2700 176.5
2790 188.1
2880 196.0
2970 199.8
3060 199.0
3150 193.8
3240 184.6
3330 171.9
3420 156.5
3510 139.4
3600 121.3
3690 103.2
3780  85.9
3870  69.9
3960  55.6
4050  43.3
4140  32.9
4230  24.5
4320  17.8
4410  12.6
4500   8.8
4590   6.0
4680   4.0
4770   2.6
4860   1.6
4950   1.0
5040   0.6
5130   0.4
5220   0.2
5310   0.1
5400   0.1
5490   0.0
5580   0.0
5670   0.0
5760   0.0
5850   0.0
5940   0.0
