          3.430      -Infinity      -Infinity
        734.020       5067.742       3583.435
        737.450       5067.721       3583.420
        740.880       5067.701       3583.406
        744.310       5067.681       3583.392
        747.740       5069.943       3584.991
        751.170       5069.923       3584.977
        754.600       5067.621       3583.349
        758.030       5067.601       3583.335
        761.460            NaN            NaN
        764.890            NaN            NaN
        768.320       5082.041       3593.546
        771.750       5082.022       3593.532
        775.180       5067.504       3583.266
        778.610       5067.484       3583.253
        782.040       5067.465       3583.239
        785.470       5067.446       3583.226
        788.900       5067.427       3583.212
        792.330       5067.408       3583.199
        795.760            NaN            NaN
        799.190            NaN            NaN
        802.620       5067.352       3583.159
        806.050       5068.930       3584.275
        809.480       5068.911       3584.262
        812.910       5067.296       3583.120
        816.340       5067.278       3583.107
        819.770       5072.069       3586.495
        823.200       5072.051       3586.482
        826.630       5070.473       3585.366
        830.060       5074.005       3587.864
        833.490       5072.838       3587.038
        836.920       5067.169       3583.030
        840.350       5067.152       3583.017
        843.780       5067.134       3583.005
        847.210       5067.116       3582.992
        850.640            NaN            NaN
        854.070            NaN            NaN
        857.500       5067.064       3582.955
        860.930       5067.046       3582.943
        864.360       5067.632       3583.357
        867.790       5067.615       3583.345
        871.220       5066.994       3582.906
        874.650       5066.977       3582.894
        878.080       5069.167       3584.442
        881.510       5069.150       3584.430
        884.940            NaN            NaN
        888.370            NaN            NaN
        891.800            NaN            NaN
        895.230       5075.414       3588.860
        898.660       5077.780       3590.532
        902.090       5077.426       3590.282
        905.520       5074.763       3588.399
        908.950       5066.809       3582.775
        912.380       5066.793       3582.764
        915.810       5079.655       3591.859
        919.240       5081.389       3593.085
        922.670       5079.810       3591.968
        926.100       5076.993       3589.976
        929.530       5066.712       3582.706
        932.960       5076.082       3589.332
        936.390       5076.066       3589.321
        939.820       5066.664       3582.672
        943.250       5073.808       3587.724
        946.680       5074.530       3588.234
        950.110       5080.264       3592.289
        953.540       5080.064       3592.148
        956.970       5066.585       3582.617
        960.400       5070.368       3585.291
        963.830       5070.352       3585.280
        967.260       5066.538       3582.584
        970.690       5066.523       3582.573
        974.120       5069.588       3584.740
        977.550       5069.904       3584.963
        980.980       5067.125       3582.999
        984.410       5071.103       3585.812
        987.840       5071.088       3585.801
        991.270       5066.432       3582.508
        994.700       5069.305       3584.540
        998.130       5069.290       3584.530
       1001.560       5066.387       3582.476
       1004.990       5066.372       3582.466
       1008.420       5066.357       3582.455
       1011.850            NaN            NaN
       1015.280            NaN            NaN
       1018.710       5073.436       3587.461
       1022.140       5066.298       3582.414
       1025.570       5076.086       3589.335
       1029.000       5076.071       3589.325
       1032.430       5066.254       3582.383
       1035.860       5066.240       3582.373
       1039.290       5075.920       3589.218
       1042.720       5082.130       3593.609
       1046.150       5081.076       3592.863
       1049.580       5077.460       3590.306
       1053.010            NaN            NaN
       1056.440            NaN            NaN
       1059.870            NaN            NaN
       1063.300            NaN            NaN
       1066.730       5066.112       3582.282
       1070.160       5066.098       3582.272
       1073.590       5067.000       3582.910
       1077.020            NaN            NaN
       1080.450            NaN            NaN
       1083.880       5066.042       3582.233
       1087.310       5066.029       3582.223
       1090.740       5066.015       3582.214
       1094.170       5066.001       3582.204
       1097.600       5065.988       3582.194
       1101.030       5074.666       3588.331
       1104.460       5074.653       3588.321
       1107.890            NaN            NaN
       1111.320            NaN            NaN
       1114.750            NaN            NaN
       1118.180            NaN            NaN
       1121.610            NaN            NaN
       1125.040       5065.880       3582.118
       1128.470            NaN            NaN
       1131.900            NaN            NaN
       1135.330       5079.106       3591.470
       1138.760       5079.092       3591.461
       1142.190            NaN            NaN
       1145.620            NaN            NaN
       1149.050       5065.788       3582.053
       1152.480            NaN            NaN
       1155.910            NaN            NaN
       1159.340            NaN            NaN
       1162.770            NaN            NaN
       1166.200            NaN            NaN
       1169.630       5066.562       3582.601
       1173.060       5065.698       3581.989
       1176.490       5065.685       3581.980
       1179.920       5070.809       3585.603
       1183.350       5075.074       3588.619
       1186.780       5073.939       3587.817
       1190.210       5066.682       3582.686
       1193.640       5065.622       3581.936
       1197.070       5065.610       3581.927
       1200.500       5065.597       3581.918
       1203.930       5065.585       3581.909
       1207.360       5075.200       3588.708
       1210.790       5075.188       3588.700
       1214.220       5074.073       3587.912
       1217.650       5074.197       3587.999
       1221.080       5078.945       3591.356
       1224.510       5078.888       3591.316
       1227.940       5079.364       3591.653
       1231.370       5079.352       3591.644
       1234.800       5079.586       3591.810
       1238.230            NaN            NaN
       1241.660            NaN            NaN
       1245.090            NaN            NaN
       1248.520            NaN            NaN
       1251.950            NaN            NaN
       1255.380       5077.189       3590.115
       1258.810            NaN            NaN
       1262.240       5080.418       3592.398
       1265.670       5071.679       3586.218
       1269.100       5072.752       3586.977
       1272.530       5072.740       3586.969
       1275.960       5065.332       3581.731
       1279.390       5067.812       3583.484
       1282.820       5067.801       3583.476
       1286.250       5065.297       3581.706
       1289.680       5065.285       3581.698
       1293.110       5068.841       3584.212
       1296.540       5078.462       3591.015
       1299.970       5078.450       3591.007
       1303.400       5069.322       3584.552
       1306.830       5068.404       3583.903
       1310.260       5069.337       3584.562
       1313.690       5070.363       3585.288
       1317.120       5069.152       3584.432
       1320.550       5065.182       3581.625
       1323.980       5065.208       3581.643
       1327.410       5069.651       3584.784
       1330.840       5069.686       3584.809
       1334.270       5069.238       3584.493
       1337.700            NaN            NaN
       1341.130            NaN            NaN
       1344.560       5072.525       3586.817
       1347.990       5073.097       3587.222
       1351.420       5074.697       3588.353
       1354.850       5072.922       3587.097
       1358.280       5065.060       3581.538
       1361.710       5065.759       3582.033
       1365.140       5065.748       3582.025
       1368.570       5065.027       3581.515
       1372.000       5065.016       3581.507
       1375.430       5072.201       3586.588
       1378.860       5079.455       3591.717
       1382.290       5078.729       3591.204
       1385.720       5064.972       3581.476
       1389.150       5064.962       3581.469
       1392.580       5064.951       3581.461
       1396.010       5067.145       3583.012
       1399.440       5068.589       3584.034
       1402.870       5067.123       3582.997
       1406.300       5073.462       3587.479
       1409.730       5079.906       3592.036
       1413.160       5078.955       3591.364
       1416.590       5066.685       3582.687
       1420.020       5077.694       3590.472
       1423.450       5077.684       3590.465
       1426.880       5076.915       3589.921
       1430.310       5079.845       3591.993
       1433.740       5077.024       3589.998
       1437.170       5077.708       3590.482
       1440.600            NaN            NaN
       1444.030            NaN            NaN
       1447.460            NaN            NaN
       1450.890            NaN            NaN
       1454.320       5075.452       3588.886
       1457.750       5075.442       3588.879
       1461.180       5073.673       3587.629
       1464.610       5073.663       3587.622
       1468.040       5073.011       3587.160
       1471.470       5077.707       3590.481
       1474.900       5076.246       3589.448
       1478.330            NaN            NaN
       1481.760            NaN            NaN
