          3.430      -Infinity      -Infinity
        843.780            NaN            NaN
        847.210            NaN            NaN
        850.640            NaN            NaN
        854.070            NaN            NaN
        857.500            NaN            NaN
        860.930            NaN            NaN
        864.360            NaN            NaN
        867.790            NaN            NaN
        871.220            NaN            NaN
        874.650            NaN            NaN
        878.080            NaN            NaN
        881.510            NaN            NaN
        884.940            NaN            NaN
        888.370            NaN            NaN
        891.800            NaN            NaN
        895.230            NaN            NaN
        898.660            NaN            NaN
        902.090            NaN            NaN
        905.520            NaN            NaN
        908.950            NaN            NaN
        912.380            NaN            NaN
        915.810            NaN            NaN
        919.240            NaN            NaN
        922.670            NaN            NaN
        926.100            NaN            NaN
        929.530            NaN            NaN
        932.960            NaN            NaN
        936.390            NaN            NaN
        939.820            NaN            NaN
        943.250            NaN            NaN
        946.680            NaN            NaN
        950.110            NaN            NaN
        953.540            NaN            NaN
        956.970            NaN            NaN
        960.400            NaN            NaN
        963.830            NaN            NaN
        967.260            NaN            NaN
        970.690            NaN            NaN
        974.120            NaN            NaN
        977.550            NaN            NaN
        980.980            NaN            NaN
        984.410            NaN            NaN
        987.840            NaN            NaN
        991.270            NaN            NaN
        994.700            NaN            NaN
        998.130            NaN            NaN
       1001.560            NaN            NaN
       1004.990            NaN            NaN
       1008.420            NaN            NaN
       1011.850            NaN            NaN
       1015.280            NaN            NaN
       1018.710            NaN            NaN
       1022.140            NaN            NaN
       1025.570            NaN            NaN
       1029.000            NaN            NaN
       1032.430            NaN            NaN
       1035.860            NaN            NaN
       1039.290            NaN            NaN
       1042.720            NaN            NaN
       1046.150            NaN            NaN
       1049.580            NaN            NaN
       1053.010            NaN            NaN
       1056.440            NaN            NaN
       1059.870            NaN            NaN
       1063.300            NaN            NaN
       1066.730            NaN            NaN
       1070.160            NaN            NaN
       1073.590            NaN            NaN
       1077.020            NaN            NaN
       1080.450            NaN            NaN
       1083.880            NaN            NaN
       1087.310            NaN            NaN
       1090.740            NaN            NaN
       1094.170            NaN            NaN
       1097.600            NaN            NaN
       1101.030            NaN            NaN
       1104.460            NaN            NaN
       1107.890            NaN            NaN
       1111.320            NaN            NaN
       1114.750            NaN            NaN
       1118.180            NaN            NaN
       1121.610            NaN            NaN
       1125.040            NaN            NaN
       1128.470            NaN            NaN
