          6.200          1.989         -1.050         -3.299         -5.061         -6.572         -7.899         -9.049        -10.052        -10.963        -11.806        -12.570        -13.260        -13.906        -14.520        -15.088        -15.610        -16.109        -16.591        -17.041        -17.461        -17.868        -18.264        -18.635        -18.986        -19.330        -19.665        -19.982        -20.283        -20.581        -20.872        -21.147        -21.411        -21.673        -21.930        -22.174        -22.409        -22.644        -22.874        -23.092        -23.304        -23.516        -23.724        -23.922        -24.115        -24.309        -24.499        -24.679        -24.857        -25.036        -25.209        -25.376        -25.540        -25.706        -25.866        -26.020        -26.174        -26.328        -26.477        -26.620        -26.764        -26.908        -27.047        -27.182        -27.317        -27.452        -27.582        -27.709        -27.836        -27.964        -28.086        -28.206        -28.327        -28.447        -28.563        -28.676        -28.791        -28.905        -29.014        -29.122        -29.231        -29.339        -29.444        -29.546        -29.651        -29.753        -29.853        -29.951        -30.050        -30.149        -30.243        -30.337        -30.433        -30.526        -30.617        -30.707        -30.799        -30.889        -30.975        -31.062        -31.150        -31.236        -31.319        -31.403        -31.488        -31.570        -31.650        -31.731        -31.813        -31.892        -31.969        -32.048        -32.126        -32.202        -32.277        -32.353        -32.428        -32.502        -32.574        -32.647        -32.721        -32.791        -32.861        -32.932        -33.003        -33.072        -33.139        -33.208        -33.277        -33.343        -33.409        -33.476        -33.542        -33.606        -33.670        -33.735        -33.800        -33.862        -33.924        -33.987        -34.049        -34.110        -34.171        -34.232        -34.292
          4.276          0.018         -2.277         -3.942         -5.646         -7.120         -8.248         -9.257        -10.280        -11.200        -11.948        -12.649        -13.377        -14.037        -14.585        -15.121        -15.685        -16.193        -16.622        -17.056        -17.515        -17.925        -18.277        -18.644        -19.030        -19.370        -19.669        -19.988        -20.320        -20.610        -20.870        -21.152        -21.443        -21.694        -21.925        -22.179        -22.437        -22.658        -22.867        -23.098        -23.329        -23.526        -23.717        -23.929        -24.137        -24.315        -24.491        -24.687        -24.876        -25.038        -25.202        -25.385        -25.557        -25.706        -25.860        -26.030        -26.188        -26.326        -26.471        -26.631        -26.776        -26.905        -27.043        -27.192        -27.327        -27.448        -27.579        -27.720        -27.845        -27.959        -28.084        -28.217        -28.333        -28.441        -28.562        -28.687        -28.796        -28.899        -29.015        -29.132        -29.235        -29.333        -29.445        -29.556        -29.652        -29.748        -29.855        -29.960        -30.051        -30.143        -30.246        -30.346        -30.432        -30.521        -30.621        -30.715        -30.797        -30.884        -30.980        -31.069        -31.148        -31.232        -31.325        -31.409        -31.485        -31.567        -31.656        -31.736        -31.809        -31.890        -31.975        -32.052        -32.122        -32.201        -32.283        -32.356        -32.424        -32.501        -32.580        -32.650        -32.716        -32.791        -32.867        -32.934        -32.999        -33.072        -33.145        -33.209        -33.272        -33.344        -33.415        -33.476        -33.538        -33.608        -33.676        -33.734        -33.796        -33.864        -33.929        -33.986        -34.046        -34.113        -34.175        -34.230        -34.290
          0.263         -2.633         -3.506         -5.186         -6.681         -7.622         -8.656         -9.793        -10.660        -11.350        -12.144        -12.943        -13.546        -14.080        -14.707        -15.309        -15.762        -16.198        -16.713        -17.188        -17.547        -17.917        -18.353        -18.739        -19.036        -19.361        -19.737        -20.057        -20.312        -20.602        -20.931        -21.203        -21.427        -21.691        -21.982        -22.216        -22.416        -22.659        -22.919        -23.123        -23.306        -23.531        -23.764        -23.945        -24.114        -24.324        -24.534        -24.696        -24.854        -25.051        -25.241        -25.387        -25.537        -25.722        -25.894        -26.027        -26.170        -26.344        -26.501        -26.624        -26.761        -26.925        -27.068        -27.182        -27.314        -27.469        -27.600        -27.707        -27.835        -27.981        -28.101        -28.203        -28.327        -28.464        -28.575        -28.672        -28.792        -28.921        -29.024        -29.117        -29.234        -29.355        -29.451        -29.541        -29.654        -29.768        -29.857        -29.945        -30.055        -30.163        -30.246        -30.332        -30.439        -30.540        -30.618        -30.702        -30.806        -30.901        -30.975        -31.058        -31.158        -31.247        -31.318        -31.400        -31.496        -31.580        -31.648        -31.728        -31.822        -31.900        -31.966        -32.046        -32.135        -32.209        -32.273        -32.352        -32.438        -32.507        -32.569        -32.647        -32.730        -32.795        -32.856        -32.933        -33.012        -33.074        -33.134        -33.210        -33.286        -33.345        -33.404        -33.479        -33.551        -33.607        -33.666        -33.739        -33.808        -33.861        -33.920        -33.992        -34.057        -34.108        -34.167        -34.237        -34.299
         -2.771         -4.351         -5.002         -6.742         -7.339         -8.275         -9.489        -10.227        -10.872        -11.772        -12.554        -13.066        -13.658        -14.373        -14.920        -15.326        -15.846        -16.415        -16.822        -17.166        -17.624        -18.084        -18.402        -18.706        -19.112        -19.490        -19.750        -20.026        -20.387        -20.702        -20.922        -21.178        -21.501        -21.767        -21.959        -22.198        -22.489        -22.716        -22.888        -23.114        -23.376        -23.571        -23.729        -23.944        -24.180        -24.350        -24.498        -24.702        -24.915        -25.065        -25.205        -25.400        -25.592        -25.726        -25.861        -26.046        -26.220        -26.341        -26.471        -26.647        -26.805        -26.915        -27.042        -27.209        -27.352        -27.454        -27.578        -27.737        -27.867        -27.962        -28.084        -28.234        -28.352        -28.442        -28.563        -28.704        -28.812        -28.898        -29.016        -29.150        -29.248        -29.331        -29.448        -29.573        -29.663        -29.744        -29.859        -29.976        -30.059        -30.139        -30.251        -30.362        -30.438        -30.517        -30.627        -30.730        -30.801        -30.880        -30.987        -31.083        -31.150        -31.229        -31.333        -31.422        -31.485        -31.564        -31.665        -31.748        -31.809        -31.887        -31.985        -32.061        -32.120        -32.199        -32.293        -32.364        -32.421        -32.500        -32.590        -32.657        -32.713        -32.792        -32.878        -32.939        -32.995        -33.074        -33.155        -33.213        -33.269        -33.347        -33.424        -33.479        -33.534        -33.611        -33.685        -33.736        -33.792        -33.868        -33.938        -33.986        -34.043        -34.118        -34.183        -34.230        -34.286
         -4.014         -4.747         -6.694         -7.550         -7.994         -9.337         -9.990        -10.519        -11.494        -12.230        -12.660        -13.329        -14.078        -14.530        -14.947        -15.566        -16.110        -16.440        -16.844        -17.379        -17.782        -18.053        -18.438        -18.891        -19.198        -19.439        -19.800        -20.182        -20.424        -20.648        -20.985        -21.306        -21.505        -21.719        -22.031        -22.302        -22.470        -22.678        -22.965        -23.194        -23.343        -23.545        -23.808        -24.003        -24.138        -24.336        -24.576        -24.743        -24.869        -25.062        -25.281        -25.425        -25.546        -25.733        -25.931        -26.058        -26.175        -26.356        -26.536        -26.648        -26.763        -26.938        -27.100        -27.200        -27.315        -27.484        -27.629        -27.720        -27.835        -27.996        -28.128        -28.212        -28.326        -28.480        -28.598        -28.677        -28.792        -28.938        -29.044        -29.120        -29.235        -29.373        -29.468        -29.542        -29.656        -29.786        -29.872        -29.944        -30.058        -30.180        -30.258        -30.330        -30.443        -30.557        -30.628        -30.700        -30.811        -30.917        -30.982        -31.055        -31.164        -31.262        -31.323        -31.397        -31.504        -31.594        -31.651        -31.726        -31.830        -31.913        -31.967        -32.043        -32.145        -32.221        -32.273        -32.350        -32.448        -32.518        -32.568        -32.647        -32.740        -32.804        -32.855        -32.934        -33.023        -33.082        -33.132        -33.211        -33.296        -33.351        -33.401        -33.481        -33.561        -33.611        -33.663        -33.742        -33.818        -33.865        -33.917        -33.996        -34.067        -34.111        -34.164        -34.242        -34.308
         -7.142         -5.041         -8.160         -7.828         -9.083        -10.017        -10.255        -11.259        -12.022        -12.344        -13.056        -13.823        -14.186        -14.635        -15.324        -15.800        -16.092        -16.586        -17.141        -17.455        -17.746        -18.224        -18.648        -18.881        -19.179        -19.614        -19.937        -20.130        -20.432        -20.815        -21.063        -21.239        -21.537        -21.869        -22.063        -22.234        -22.523        -22.806        -22.964        -23.134        -23.410        -23.651        -23.784        -23.955        -24.216        -24.420        -24.536        -24.709        -24.952        -25.125        -25.232        -25.406        -25.630        -25.776        -25.878        -26.052        -26.257        -26.382        -26.481        -26.654        -26.841        -26.949        -27.047        -27.218        -27.387        -27.481        -27.581        -27.748        -27.900        -27.983        -28.084        -28.247        -28.383        -28.458        -28.562        -28.719        -28.840        -28.909        -29.015        -29.165        -29.273        -29.339        -29.447        -29.590        -29.685        -29.749        -29.859        -29.994        -30.079        -30.141        -30.253        -30.379        -30.455        -30.518        -30.629        -30.748        -30.815        -30.879        -30.991        -31.100        -31.161        -31.227        -31.338        -31.439        -31.494        -31.562        -31.671        -31.764        -31.815        -31.885        -31.992        -32.077        -32.125        -32.197        -32.301        -32.378        -32.424        -32.498        -32.600        -32.669        -32.714        -32.790        -32.888        -32.951        -32.995        -33.073        -33.166        -33.223        -33.267        -33.347        -33.435        -33.487        -33.532        -33.613        -33.696        -33.743        -33.789        -33.870        -33.949        -33.992        -34.040        -34.121        -34.194        -34.234        -34.284
        -11.611         -6.129         -8.957         -8.407        -10.220        -10.179        -10.963        -11.958        -12.131        -12.801        -13.632        -13.917        -14.367        -15.109        -15.518        -15.794        -16.368        -16.899        -17.141        -17.492        -18.029        -18.379        -18.584        -18.974        -19.422        -19.657        -19.871        -20.263        -20.617        -20.790        -21.020        -21.390        -21.664        -21.807        -22.051        -22.388        -22.598        -22.730        -22.982        -23.279        -23.443        -23.574        -23.827        -24.085        -24.214        -24.350        -24.599        -24.819        -24.926        -25.068        -25.307        -25.494        -25.586        -25.735        -25.962        -26.118        -26.203        -26.358        -26.569        -26.700        -26.781        -26.940        -27.135        -27.245        -27.326        -27.487        -27.664        -27.758        -27.840        -28.002        -28.162        -28.242        -28.328        -28.488        -28.632        -28.701        -28.791        -28.949        -29.076        -29.138        -29.233        -29.385        -29.498        -29.555        -29.654        -29.801        -29.900        -29.954        -30.056        -30.196        -30.283        -30.336        -30.442        -30.574        -30.649        -30.703        -30.811        -30.935        -31.001        -31.056        -31.166        -31.281        -31.339        -31.396        -31.507        -31.612        -31.664        -31.724        -31.834        -31.931        -31.978        -32.041        -32.150        -32.238        -32.281        -32.347        -32.455        -32.534        -32.574        -32.644        -32.749        -32.820        -32.858        -32.931        -33.032        -33.096        -33.134        -33.210        -33.307        -33.363        -33.401        -33.480        -33.572        -33.622        -33.662        -33.742        -33.829        -33.874        -33.915        -33.997        -34.078        -34.118        -34.162        -34.244        -34.320
        -15.559         -7.813         -9.157         -9.634        -10.737        -10.577        -11.940        -12.108        -12.528        -13.505        -13.751        -14.122        -14.923        -15.295        -15.538        -16.170        -16.674        -16.863        -17.277        -17.839        -18.108        -18.329        -18.801        -19.210        -19.380        -19.661        -20.107        -20.383        -20.532        -20.853        -21.235        -21.421        -21.581        -21.915        -22.224        -22.358        -22.539        -22.864        -23.106        -23.214        -23.416        -23.718        -23.903        -24.003        -24.220        -24.492        -24.633        -24.735        -24.959        -25.198        -25.308        -25.417        -25.643        -25.848        -25.936        -26.054        -26.276        -26.449        -26.524        -26.652        -26.865        -27.010        -27.077        -27.215        -27.416        -27.535        -27.600        -27.745        -27.931        -28.030        -28.096        -28.246        -28.416        -28.498        -28.567        -28.720        -28.874        -28.942        -29.016        -29.170        -29.307        -29.365        -29.445        -29.597        -29.719        -29.770        -29.856        -30.004        -30.110        -30.157        -30.249        -30.392        -30.484        -30.528        -30.626        -30.763        -30.842        -30.886        -30.988        -31.117        -31.185        -31.230        -31.336        -31.457        -31.515        -31.563        -31.671        -31.783        -31.833        -31.884        -31.994        -32.096        -32.139        -32.194        -32.305        -32.397        -32.436        -32.495        -32.605        -32.688        -32.723        -32.787        -32.894        -32.969        -33.001        -33.069        -33.174        -33.240        -33.272        -33.344        -33.445        -33.502        -33.534        -33.610        -33.706        -33.757        -33.790        -33.869        -33.960        -34.004        -34.039        -34.120        -34.206        -34.244        -34.282
        -18.862         -9.716         -9.255        -11.286        -10.793        -11.567        -12.446        -12.292        -13.360        -13.744        -13.898        -14.753        -15.160        -15.319        -15.983        -16.490        -16.628        -17.082        -17.658        -17.862        -18.110        -18.640        -18.989        -19.128        -19.489        -19.943        -20.136        -20.312        -20.714        -21.050        -21.173        -21.404        -21.789        -22.019        -22.128        -22.399        -22.737        -22.890        -23.012        -23.303        -23.581        -23.687        -23.832        -24.123        -24.343        -24.425        -24.594        -24.871        -25.038        -25.113        -25.301        -25.555        -25.681        -25.759        -25.960        -26.184        -26.279        -26.366        -26.573        -26.767        -26.841        -26.939        -27.146        -27.310        -27.370        -27.481        -27.683        -27.819        -27.872        -27.994        -28.187        -28.298        -28.348        -28.481        -28.661        -28.751        -28.803        -28.943        -29.108        -29.181        -29.238        -29.383        -29.532        -29.591        -29.654        -29.802        -29.934        -29.983        -30.053        -30.201        -30.317        -30.359        -30.437        -30.582        -30.683        -30.720        -30.805        -30.946        -31.032        -31.068        -31.160        -31.295        -31.368        -31.403        -31.502        -31.629        -31.690        -31.728        -31.831        -31.949        -32.001        -32.042        -32.148        -32.258        -32.300        -32.346        -32.455        -32.554        -32.590        -32.641        -32.751        -32.840        -32.871        -32.927        -33.036        -33.116        -33.144        -33.205        -33.313        -33.382        -33.409        -33.475        -33.580        -33.640        -33.667        -33.738        -33.838        -33.891        -33.918        -33.993        -34.089        -34.134        -34.162        -34.241        -34.331
        -22.120        -11.739         -9.560        -12.688        -11.053        -12.803        -12.461        -13.028        -13.934        -13.769        -14.547        -15.136        -15.150        -15.792        -16.366        -16.440        -16.895        -17.500        -17.654        -17.914        -18.486        -18.782        -18.908        -19.336        -19.771        -19.900        -20.129        -20.581        -20.844        -20.948        -21.263        -21.648        -21.794        -21.935        -22.287        -22.575        -22.666        -22.858        -23.201        -23.400        -23.479        -23.712        -24.018        -24.149        -24.242        -24.499        -24.754        -24.842        -24.958        -25.222        -25.425        -25.489        -25.631        -25.887        -26.043        -26.099        -26.263        -26.501        -26.616        -26.675        -26.856        -27.069        -27.154        -27.222        -27.413        -27.599        -27.661        -27.742        -27.936        -28.094        -28.142        -28.238        -28.429        -28.560        -28.600        -28.709        -28.894        -28.999        -29.038        -29.159        -29.333        -29.417        -29.458        -29.589        -29.749        -29.815        -29.861        -29.999        -30.144        -30.195        -30.248        -30.390        -30.519        -30.560        -30.621        -30.765        -30.877        -30.910        -30.981        -31.123        -31.220        -31.249        -31.328        -31.467        -31.548        -31.576        -31.663        -31.796        -31.864        -31.892        -31.987        -32.112        -32.167        -32.199        -32.299        -32.416        -32.461        -32.496        -32.601        -32.708        -32.744        -32.785        -32.893        -32.989        -33.019        -33.066        -33.175        -33.261        -33.286        -33.339        -33.448        -33.524        -33.546        -33.605        -33.712        -33.778        -33.798        -33.863        -33.967        -34.024        -34.045        -34.115        -34.215        -34.263        -34.285
