          3.430      -Infinity      -Infinity
        734.020        -30.024        -21.230
        737.450        -23.520        -16.631
        740.880        -25.234        -17.843
        744.310        -25.938        -18.341
        747.740        -25.899        -18.313
        751.170        -24.000        -16.970
        754.600        -27.780        -19.643
        758.030        -23.856        -16.868
        761.460        -24.555        -17.363
        764.890        -27.168        -19.210
        768.320        -22.535        -15.934
        771.750        -30.110        -21.291
        775.180        -22.982        -16.251
        778.610        -26.351        -18.633
        782.040        -25.214        -17.829
        785.470        -24.147        -17.074
        788.900        -27.393        -19.370
        792.330        -23.874        -16.882
        795.760        -27.161        -19.206
        799.190        -24.444        -17.285
        802.620        -26.320        -18.611
        806.050        -24.957        -17.647
        809.480        -25.606        -18.106
        812.910        -25.825        -18.261
        816.340        -24.423        -17.270
        819.770        -27.524        -19.462
        823.200        -23.712        -16.767
        826.630        -27.315        -19.315
        830.060        -24.631        -17.417
        833.490        -24.724        -17.482
        836.920        -27.434        -19.399
        840.350        -23.345        -16.507
        843.780        -28.366        -20.058
        847.210        -24.068        -17.019
        850.640        -25.233        -17.842
        854.070        -26.896        -19.018
        857.500        -23.490        -16.610
        860.930        -28.559        -20.195
        864.360        -24.008        -16.976
        867.790        -25.720        -18.187
        871.220        -26.446        -18.700
        874.650        -24.008        -16.976
        878.080        -27.906        -19.732
        881.510        -24.389        -17.245
        884.940        -26.126        -18.474
        888.370        -25.946        -18.346
        891.800        -24.958        -17.648
        895.230        -26.767        -18.927
        898.660        -24.937        -17.633
        902.090        -26.603        -18.811
        905.520        -25.147        -17.782
        908.950        -26.246        -18.558
        912.380        -25.715        -18.183
        915.810        -25.167        -17.796
        919.240        -27.249        -19.268
        922.670        -24.280        -17.169
        926.100        -27.423        -19.391
        929.530        -25.112        -17.757
        932.960        -24.967        -17.654
        936.390        -27.971        -19.778
        939.820        -23.738        -16.785
        943.250        -27.956        -19.768
        946.680        -25.015        -17.688
        950.110        -24.722        -17.481
        953.540        -28.452        -20.118
        956.970        -23.681        -16.745
        960.400        -27.852        -19.695
        963.830        -25.256        -17.859
        967.260        -24.767        -17.513
        970.690        -28.339        -20.039
        974.120        -24.053        -17.008
        977.550        -27.534        -19.469
        980.980        -25.542        -18.061
        984.410        -25.183        -17.807
        987.840        -27.663        -19.560
        991.270        -24.676        -17.448
        994.700        -27.276        -19.287
        998.130        -25.616        -18.113
       1001.560        -25.885        -18.304
       1004.990        -26.794        -18.946
       1008.420        -25.331        -17.912
       1011.850        -27.134        -19.187
       1015.280        -25.448        -17.995
       1018.710        -26.714        -18.889
       1022.140        -26.034        -18.408
       1025.570        -25.866        -18.290
       1029.000        -27.061        -19.135
       1032.430        -25.193        -17.814
       1035.860        -27.496        -19.443
       1039.290        -25.486        -18.022
       1042.720        -26.257        -18.567
       1046.150        -26.993        -19.087
       1049.580        -25.004        -17.681
       1053.010        -28.106        -19.874
       1056.440        -25.142        -17.778
       1059.870        -26.576        -18.792
       1063.300        -26.885        -19.011
       1066.730        -24.949        -17.642
       1070.160        -28.490        -20.145
       1073.590        -24.953        -17.645
       1077.020        -26.889        -19.013
       1080.450        -26.728        -18.899
       1083.880        -25.026        -17.696
       1087.310        -28.654        -20.262
       1090.740        -24.878        -17.592
       1094.170        -27.212        -19.242
       1097.600        -26.545        -18.770
       1101.030        -25.213        -17.828
       1104.460        -28.628        -20.243
       1107.890        -24.898        -17.606
       1111.320        -27.518        -19.458
       1114.750        -26.372        -18.648
       1118.180        -25.487        -18.022
       1121.610        -28.440        -20.110
       1125.040        -25.016        -17.689
       1128.470        -27.761        -19.630
       1131.900        -26.235        -18.551
       1135.330        -25.845        -18.275
       1138.760        -28.113        -19.879
       1142.190        -25.242        -17.849
       1145.620        -27.899        -19.728
       1149.050        -26.137        -18.481
       1152.480        -26.288        -18.588
       1155.910        -27.674        -19.569
       1159.340        -25.579        -18.087
       1162.770        -27.916        -19.739
       1166.200        -26.059        -18.426
       1169.630        -26.817        -18.962
       1173.060        -27.159        -19.205
       1176.490        -26.009        -18.391
       1179.920        -27.819        -19.671
       1183.350        -25.974        -18.366
       1186.780        -27.417        -19.387
       1190.210        -26.619        -18.823
       1193.640        -26.496        -18.736
       1197.070        -27.646        -19.549
       1200.500        -25.866        -18.290
       1203.930        -28.052        -19.836
       1207.360        -26.114        -18.466
       1210.790        -26.981        -19.079
       1214.220        -27.446        -19.407
       1217.650        -25.745        -18.204
       1221.080        -28.657        -20.264
       1224.510        -25.702        -18.174
       1227.940        -27.406        -19.379
       1231.370        -27.268        -19.281
       1234.800        -25.646        -18.134
       1238.230        -29.146        -20.609
       1241.660        -25.429        -17.981
       1245.090        -27.732        -19.609
       1248.520        -27.146        -19.195
       1251.950        -25.621        -18.117
       1255.380        -29.426        -20.807
       1258.810        -25.327        -17.909
       1262.240        -27.952        -19.765
       1265.670        -27.084        -19.151
       1269.100        -25.719        -18.186
       1272.530        -29.430        -20.810
       1275.960        -25.407        -17.965
       1279.390        -28.090        -19.863
       1282.820        -27.057        -19.132
       1286.250        -25.974        -18.367
       1289.680        -29.145        -20.609
       1293.110        -25.655        -18.141
       1296.540        -28.172        -19.920
       1299.970        -27.013        -19.101
       1303.400        -26.401        -18.668
       1306.830        -28.630        -20.244
       1310.260        -26.036        -18.410
       1313.690        -28.216        -19.952
       1317.120        -26.898        -19.020
       1320.550        -26.989        -19.084
       1323.980        -27.990        -19.792
       1327.410        -26.488        -18.730
       1330.840        -28.230        -19.962
       1334.270        -26.692        -18.874
       1337.700        -27.700        -19.587
       1341.130        -27.338        -19.331
       1344.560        -26.933        -19.045
       1347.990        -28.222        -19.956
       1351.420        -26.423        -18.684
       1354.850        -28.462        -20.126
       1358.280        -26.770        -18.929
       1361.710        -27.306        -19.308
       1365.140        -28.201        -19.941
       1368.570        -26.158        -18.497
       1372.000        -29.170        -20.627
       1375.430        -26.348        -18.631
       1378.860        -27.581        -19.503
       1382.290        -28.173        -19.922
       1385.720        -25.976        -18.368
       1389.150        -29.704        -21.004
       1392.580        -26.100        -18.456
